Borrower_ID,dpd,excess_over_dp_pct,gst_turnover_variance_pct,negative_cfo_periods,current_ratio,audit_status,nclt_event,restructuring,security_cover_pct,insurance_delay_days,customer_concentration_pct,supplier_concentration_pct,sector_stress,commodity_exposure_pct,geopolitical_exposure_pct,project_delay_days,project_cost_overrun_pct,plant_shutdown_days,cyber_severity,end_use_deviation_pct,overdue_events
BORR-0001,6,16.34,-15.59,0,1.57,0,False,False,145.93,1,42.99,33.87,1,37.5,17.5,8,8.33,4,1,8.75,1
BORR-0002,6,13.55,-10.64,1,1.79,0,False,False,171.65,1,42.8,16.47,1,27.5,7.5,2,6.77,1,0,3.75,0
BORR-0003,5,-1.23,-5.39,0,1.97,0,False,False,161.19,2,31.37,32.94,0,27.5,7.5,3,-8.5,4,0,3.75,0
BORR-0004,8,19.4,-2.34,0,1.47,1,False,False,127.2,6,46.07,36.15,0,37.5,17.5,18,13.8,5,1,8.75,1
BORR-0005,21,20.28,-24.58,1,1.17,0,False,False,117.12,11,56.85,46.96,3,52.5,32.5,19,21.45,7,0,16.25,3
BORR-0006,11,8.58,-22.27,2,1.58,0,False,False,137.8,6,42.81,33.06,0,37.5,17.5,11,18.67,6,0,8.75,0
BORR-0007,3,9.48,-7.36,0,1.75,0,False,False,175.48,1,29.71,23.69,0,27.5,7.5,7,2.2,0,0,3.75,0
BORR-0008,9,15.16,-7.77,0,1.51,0,False,False,132.7,5,38.04,32.5,1,37.5,17.5,9,9.54,5,1,8.75,0
BORR-0009,15,28.47,-18.58,1,0.89,1,False,False,112.79,13,58.23,51.07,2,52.5,32.5,15,25.23,13,3,16.25,1
BORR-0010,9,11.62,-19.11,0,1.65,0,False,False,177.72,0,31.16,33.21,2,27.5,7.5,9,1.56,2,0,3.75,0
BORR-0011,12,12.84,-21.0,1,1.55,0,False,False,152.27,4,35.4,24.55,1,37.5,17.5,9,1.81,5,0,8.75,2
BORR-0012,6,15.76,-3.68,0,2.04,0,False,False,153.12,0,34.64,34.54,2,27.5,7.5,6,-4.37,4,0,3.75,0
BORR-0013,3,8.4,-6.0,0,1.77,0,False,False,185.25,2,23.79,31.85,0,27.5,7.5,6,9.19,3,0,3.75,0
BORR-0014,6,2.8,-2.94,0,1.83,0,False,False,169.85,4,33.09,19.1,0,27.5,7.5,4,9.24,2,0,3.75,1
BORR-0015,7,0.19,-6.14,0,1.77,1,False,False,166.21,3,31.0,21.93,1,27.5,7.5,6,0.07,2,0,3.75,1
BORR-0016,13,24.0,-19.89,1,1.23,1,False,False,102.07,11,47.32,47.14,3,52.5,32.5,16,11.78,6,2,16.25,0
BORR-0017,27,21.63,-18.09,2,1.32,0,False,False,131.46,5,48.66,45.96,1,52.5,32.5,20,17.67,13,1,16.25,1
BORR-0018,8,13.13,-9.08,0,1.54,0,False,False,141.02,7,35.13,38.72,0,37.5,17.5,13,12.61,8,2,8.75,1
BORR-0019,5,12.87,-6.72,0,1.65,0,False,False,174.73,0,31.1,25.13,0,27.5,7.5,7,3.72,4,0,3.75,0
BORR-0020,2,-0.53,-13.0,1,1.71,0,False,False,183.61,4,33.13,26.73,0,27.5,7.5,6,1.1,4,0,3.75,0
BORR-0021,16,21.34,-19.75,1,1.18,2,False,False,115.69,9,56.25,38.81,0,52.5,32.5,25,28.26,11,0,16.25,3
BORR-0022,4,2.36,-12.1,1,1.72,1,False,False,170.56,3,21.59,23.7,0,27.5,7.5,5,3.94,3,0,3.75,0
BORR-0023,4,3.87,-9.32,2,2.06,1,False,False,172.29,3,35.16,25.32,0,27.5,7.5,9,3.12,2,0,3.75,0
BORR-0024,3,17.84,-12.65,0,1.32,0,False,False,139.84,8,42.83,27.62,0,37.5,17.5,13,19.34,7,0,8.75,1
BORR-0025,6,4.77,-6.44,1,1.79,1,False,False,164.34,2,21.06,24.27,0,27.5,7.5,9,12.82,1,0,3.75,0
BORR-0026,0,2.87,-6.99,0,1.99,0,False,False,170.37,3,32.4,28.36,0,27.5,7.5,3,7.76,1,0,3.75,1
BORR-0027,3,2.47,-6.83,0,1.55,1,False,False,165.2,0,27.28,31.24,0,27.5,7.5,5,8.41,1,0,3.75,0
BORR-0028,2,4.92,-2.1,1,1.84,0,False,False,156.93,1,40.14,26.35,0,27.5,7.5,4,2.12,2,0,3.75,0
BORR-0029,2,4.02,-14.13,0,1.95,0,False,False,179.65,2,22.69,22.33,2,27.5,7.5,0,4.94,3,0,3.75,1
