Borrower_ID,Indicator_ID,Indicator_Name,Category,Score,Severity,Critical_Indicator,Final_Status
BORR-0001,EWS-002,Adhoc / Temporary Limit Requests,Banking Behaviour,50.0,Medium,False,Critical
BORR-0001,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0001,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0001,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0001,EWS-009,Increase in Debtor Days,Working Capital,50.0,Medium,True,Critical
BORR-0001,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0001,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0001,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0001,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0001,EWS-021,Management Change,Governance,100.0,Critical,False,Critical
BORR-0001,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Critical
BORR-0001,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0001,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0001,EWS-036,Round Tripping,Fraud Risk,100.0,Critical,True,Critical
BORR-0001,EWS-037,ESG Action / Event,ESG,40.0,Medium,False,Critical
BORR-0001,EWS-038,Carbon Emission Increase,Climate Risk,75.0,High,False,Critical
BORR-0001,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0001,EWS-042,Leverage,Leverage,50.0,Medium,False,Critical
BORR-0001,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0002,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Green
BORR-0002,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Green
BORR-0002,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Green
BORR-0002,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Green
BORR-0002,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Green
BORR-0002,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Green
BORR-0003,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0003,EWS-026,Statutory Payment Delay,Compliance,50.0,Medium,False,Critical
BORR-0003,EWS-032,Customer Complaint Severity,Operational Risk,40.0,Medium,False,Critical
BORR-0003,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0003,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0004,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0004,EWS-004,Payment Defaults,Repayment Behaviour,75.0,High,True,Critical
BORR-0004,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0004,EWS-008,EBITDA Margin Deterioration,Financial Performance,75.0,High,False,Critical
BORR-0004,EWS-009,Increase in Debtor Days,Working Capital,50.0,Medium,True,Critical
BORR-0004,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0004,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0004,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Critical
BORR-0004,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Critical
BORR-0004,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0004,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0004,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0004,EWS-038,Carbon Emission Increase,Climate Risk,75.0,High,False,Critical
BORR-0004,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0004,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0004,EWS-043,Current Ratio,Liquidity,50.0,Medium,False,Critical
