bank_utilization_pct,adhoc_limit_requests,credit_limit_reduction_pct,payment_defaults,non_core_repayment_pct,stock_variance_pct,sales_change_pct,ebitda_margin_change_pct,debtor_days_change,inventory_days_change,creditor_days_change,provision_change_pct,cma_variance_pct,unsecured_loan_change_pct,finance_cost_growth_gap_pct,lc_events,bg_events,rating_downgrade_notches,financial_performance_change_pct,auditor_change,management_change,promoter_pledge_pct,promoter_holding_decline_pct,related_party_change_pct,group_stress,statutory_delays,regulatory_event,litigation_cases,business_model_change,sector_growth_gap_pct,news_severity,complaint_severity,workforce_disruption_days,capacity_utilization_pct,site_visit_severity,round_tripping,esg_severity,carbon_emission_change_pct,depreciation_change_pct,inventory_valuation_change_pct,dscr,debt_to_tnw,current_ratio,Borrower_ID
64.29,2,9.8,0,18.76,11.57,-6.89,4.91,20.32,21.33,21.63,27.64,12.49,23.59,6.7,1,0,0,-9.93,False,True,24.43,0.0,9.96,False,0,False,1,False,17.56,0,1,0,86.2,1,True,2,26.33,5.69,16.08,1.52,2.02,1.69,BORR-0001
56.83,0,1.33,0,4.47,13.83,-1.67,-3.72,14.09,22.23,14.26,0.0,4.01,20.67,1.19,0,0,0,-4.94,False,False,18.36,3.9,0.51,False,0,False,0,False,0.0,0,0,0,76.75,0,False,0,15.22,5.05,0.0,2.07,1.51,1.74,BORR-0002
52.85,1,1.07,0,1.87,15.56,0.31,-1.06,10.26,4.38,2.11,12.09,15.99,3.35,1.83,0,0,1,-5.53,False,False,5.85,8.38,11.64,False,2,False,0,False,1.31,1,2,2,83.31,1,False,1,13.48,3.64,1.92,2.36,1.77,1.57,BORR-0003
60.27,0,12.79,2,21.18,5.5,-10.56,-6.98,29.91,9.78,20.43,27.17,27.13,11.67,14.03,2,0,1,-2.98,False,False,18.61,4.68,23.7,False,0,False,1,False,16.11,0,0,0,73.45,0,False,0,22.03,12.85,13.83,1.69,1.62,1.49,BORR-0004
75.78,1,15.29,1,25.36,19.92,-16.18,-5.09,47.46,26.0,22.54,57.75,36.25,46.16,20.67,1,0,1,-11.37,False,False,35.2,14.75,25.06,True,1,False,1,False,29.98,5,2,4,52.18,4,False,1,31.65,16.3,20.14,1.53,3.04,1.24,BORR-0005
54.5,0,7.6,0,18.75,14.3,0.29,-4.46,13.32,14.19,30.38,20.94,28.82,17.7,21.15,1,0,0,-1.3,False,False,25.39,5.83,10.93,False,0,True,0,True,0.0,0,1,6,81.47,1,False,0,15.38,8.84,0.0,1.66,1.66,1.72,BORR-0006
54.33,0,0.0,0,6.7,9.78,-11.4,-0.19,2.51,-1.09,5.14,0.0,3.41,0.0,21.24,0,1,0,-3.57,False,False,8.44,2.9,12.11,False,0,False,0,False,10.48,0,0,1,91.47,0,False,0,4.63,7.88,7.7,2.59,1.79,1.82,BORR-0007
57.72,1,3.22,0,1.81,3.69,-15.08,-4.35,12.94,14.0,21.28,32.69,20.97,7.26,12.48,1,1,0,-13.13,False,False,14.09,12.63,27.82,False,0,False,2,False,6.68,0,0,2,71.81,1,False,1,15.43,8.58,12.23,1.73,1.83,1.54,BORR-0008
80.14,2,14.04,1,18.07,5.98,-30.89,-5.1,31.33,15.52,31.11,13.73,25.17,15.89,16.61,1,0,1,-16.01,False,False,35.99,17.8,30.8,False,2,False,2,False,23.07,1,2,4,57.78,0,False,0,25.91,17.72,24.72,0.78,3.06,1.24,BORR-0009
57.24,1,0.0,0,0.0,5.09,7.24,-0.55,5.0,11.89,-11.69,12.45,15.0,0.0,15.08,0,1,0,-2.84,False,False,10.24,1.7,1.13,False,0,False,1,False,15.19,1,1,1,85.26,0,False,1,12.18,0.39,11.19,2.25,1.57,2.12,BORR-0010
58.63,0,0.78,2,19.98,8.72,-8.54,-5.05,35.32,13.28,14.88,28.57,19.46,18.24,6.57,1,0,3,-6.39,False,False,33.69,10.62,9.09,False,0,False,1,False,9.92,0,0,3,72.57,0,False,0,25.02,7.77,9.05,1.14,2.03,1.58,BORR-0011
55.98,0,0.0,1,11.77,1.0,-5.65,-1.2,8.02,-0.17,7.19,0.0,14.15,6.85,7.66,0,0,0,-7.31,False,False,9.53,2.73,18.78,False,0,False,0,False,13.54,0,0,3,72.88,0,False,0,13.52,11.36,10.26,1.75,1.29,1.91,BORR-0012
46.39,0,6.56,0,13.47,7.22,-7.03,1.12,-1.9,10.18,10.74,5.63,11.1,0.0,13.43,1,0,0,-4.67,False,False,1.22,7.03,0.0,False,0,False,0,False,16.72,0,1,0,83.06,1,False,0,14.77,15.78,9.95,1.85,1.32,1.64,BORR-0013
53.0,0,3.98,0,0.0,15.03,0.52,-2.14,10.97,18.21,18.56,0.0,12.72,6.42,12.55,0,0,0,-1.16,False,False,5.37,4.93,1.83,False,0,False,0,False,0.0,0,0,1,76.49,0,False,1,11.06,0.0,5.72,1.84,0.94,1.98,BORR-0014
50.74,0,4.21,0,24.53,4.76,-15.41,-2.0,10.75,9.51,-2.7,21.12,0.0,19.44,0.0,0,1,1,-4.88,False,False,13.17,6.3,6.97,False,0,False,2,False,0.0,0,1,2,77.84,3,False,1,14.4,9.69,2.52,1.99,1.31,1.77,BORR-0015
75.95,0,7.79,1,35.93,17.06,-33.01,-6.5,37.6,29.69,28.26,17.63,30.87,35.13,21.85,3,1,4,-8.35,False,True,36.39,11.9,20.39,False,1,True,1,True,18.03,1,0,8,61.92,1,False,3,16.72,12.35,14.36,1.11,2.76,1.46,BORR-0016
84.6,1,10.15,1,26.53,7.42,-8.67,-1.61,24.35,19.65,28.29,38.68,31.51,48.1,20.17,1,2,0,-20.24,False,False,36.41,15.12,22.38,False,2,False,1,False,25.68,1,5,8,59.91,1,False,0,22.6,17.09,20.75,1.18,2.95,1.41,BORR-0017
