Borrower_ID,Borrower_Name,CIN,PAN,Sector,City,Risk_Profile,External_Rating,Sanctioned_Limit_Cr,Annual_Turnover_Cr,Total_Debt_Cr,TNW_Cr,Promoter_Holding_Pct,EWS-001_Value,EWS-001_Score,EWS-001_Critical,EWS-002_Value,EWS-002_Score,EWS-002_Critical,EWS-003_Value,EWS-003_Score,EWS-003_Critical,EWS-004_Value,EWS-004_Score,EWS-004_Critical,EWS-005_Value,EWS-005_Score,EWS-005_Critical,EWS-006_Value,EWS-006_Score,EWS-006_Critical,EWS-007_Value,EWS-007_Score,EWS-007_Critical,EWS-008_Value,EWS-008_Score,EWS-008_Critical,EWS-009_Value,EWS-009_Score,EWS-009_Critical,EWS-010_Value,EWS-010_Score,EWS-010_Critical,EWS-011_Value,EWS-011_Score,EWS-011_Critical,EWS-012_Value,EWS-012_Score,EWS-012_Critical,EWS-013_Value,EWS-013_Score,EWS-013_Critical,EWS-014_Value,EWS-014_Score,EWS-014_Critical,EWS-015_Value,EWS-015_Score,EWS-015_Critical,EWS-016_Value,EWS-016_Score,EWS-016_Critical,EWS-017_Value,EWS-017_Score,EWS-017_Critical,EWS-018_Value,EWS-018_Score,EWS-018_Critical,EWS-019_Value,EWS-019_Score,EWS-019_Critical,EWS-020_Value,EWS-020_Score,EWS-020_Critical,EWS-021_Value,EWS-021_Score,EWS-021_Critical,EWS-022_Value,EWS-022_Score,EWS-022_Critical,EWS-023_Value,EWS-023_Score,EWS-023_Critical,EWS-024_Value,EWS-024_Score,EWS-024_Critical,EWS-025_Value,EWS-025_Score,EWS-025_Critical,EWS-026_Value,EWS-026_Score,EWS-026_Critical,EWS-027_Value,EWS-027_Score,EWS-027_Critical,EWS-028_Value,EWS-028_Score,EWS-028_Critical,EWS-029_Value,EWS-029_Score,EWS-029_Critical,EWS-030_Value,EWS-030_Score,EWS-030_Critical,EWS-031_Value,EWS-031_Score,EWS-031_Critical,EWS-032_Value,EWS-032_Score,EWS-032_Critical,EWS-033_Value,EWS-033_Score,EWS-033_Critical,EWS-034_Value,EWS-034_Score,EWS-034_Critical,EWS-035_Value,EWS-035_Score,EWS-035_Critical,EWS-036_Value,EWS-036_Score,EWS-036_Critical,EWS-037_Value,EWS-037_Score,EWS-037_Critical,EWS-038_Value,EWS-038_Score,EWS-038_Critical,EWS-039_Value,EWS-039_Score,EWS-039_Critical,EWS-040_Value,EWS-040_Score,EWS-040_Critical,EWS-041_Value,EWS-041_Score,EWS-041_Critical,EWS-042_Value,EWS-042_Score,EWS-042_Critical,EWS-043_Value,EWS-043_Score,EWS-043_Critical,Overall_Normalized_Score,Critical_Indicator_Override,Critical_Combination_Override,Critical_Combination,Risk_Band,Final_Status
BORR-0001,"Choudhury, Bakshi and Maharaj",VXRCSNBALCGHQTARG850800,UWRNH8359S,Manufacturing,Chennai,Watch,A-,154.14,297.89,177.22,70.22,75.47,64.29,25,False,2,50,False,9.8,25,False,0,0,False,18.76,50,False,11.57,50,False,-6.89,0,False,4.91,50,False,20.32,50,False,21.33,50,False,21.63,50,False,27.64,50,False,12.49,0,False,23.59,50,False,6.7,25,False,1,25,False,0,0,False,0,0.0,False,-9.93,0,False,False,0,False,True,100,False,24.43,50,False,0.0,0,False,9.96,25,False,False,0,False,0,0,False,False,0,False,1,50,False,False,0,False,17.56,50,False,0,0.0,False,1,20.0,False,0,0,False,86.2,0,False,1,20.0,False,True,100,True,2,40.0,False,26.33,75,False,5.69,25,False,16.08,50,False,1.52,25,False,2.02,50,False,1.69,25,False,29.186046511627907,True,True,Stretched debtors + rising provisions,Yellow,Critical
BORR-0002,Kapoor and Sons,YKDCMDLLLTIZBXORD496922,CRJUT6925S,Trading,Bengaluru,Healthy,AA+,36.43,157.86,38.8,47.03,70.23,56.83,25,False,0,0,False,1.33,0,False,0,0,False,4.47,0,False,13.83,50,False,-1.67,0,False,-3.72,50,False,14.09,25,False,22.23,50,False,14.26,25,False,0.0,0,False,4.01,0,False,20.67,50,False,1.19,0,False,0,0,False,0,0,False,0,0.0,False,-4.94,0,False,False,0,False,False,0,False,18.36,50,False,3.9,0,False,0.51,0,False,False,0,False,0,0,False,False,0,False,0,0,False,False,0,False,0.0,0,False,0,0.0,False,0,0.0,False,0,0,False,76.75,0,False,0,0.0,False,False,0,False,0,0.0,False,15.22,50,False,5.05,25,False,0.0,0,False,2.07,0,False,1.51,25,False,1.74,25,False,10.465116279069768,False,False,,Green,Green
BORR-0003,"Chaudry, Chahal and Sami",MIOULFLLLGVIWVUCT765822,FRXHF8573M,Engineering,Chennai,Healthy,AAA,261.07,346.43,212.65,171.42,84.48,52.85,25,False,1,25,False,1.07,0,False,0,0,False,1.87,0,False,15.56,50,False,0.31,0,False,-1.06,25,False,10.26,25,False,4.38,0,False,2.11,0,False,12.09,25,False,15.99,0,False,3.35,0,False,1.83,0,False,0,0,False,0,0,False,1,25.0,False,-5.53,0,False,False,0,False,False,0,False,5.85,25,False,8.38,25,False,11.64,25,False,False,0,False,2,50,False,False,0,False,0,0,False,False,0,False,1.31,0,False,1,20.0,False,2,40.0,False,2,25,False,83.31,0,False,1,20.0,False,False,0,False,1,20.0,False,13.48,50,False,3.64,0,False,1.92,0,False,2.36,0,False,1.77,25,False,1.57,25,False,12.790697674418604,False,True,Stretched debtors + rising provisions,Green,Critical
BORR-0004,Balan Inc,HBZKMICGLSWKGUPMU581141,EIEHX9830I,Infrastructure,Vadodara,Watch,A-,277.38,831.33,234.24,219.06,64.23,60.27,25,False,0,0,False,12.79,50,False,2,75,False,21.18,50,False,5.5,25,False,-10.56,0,False,-6.98,75,False,29.91,50,False,9.78,25,False,20.43,50,False,27.17,50,False,27.13,0,False,11.67,25,False,14.03,50,False,2,25,False,0,0,False,1,25.0,False,-2.98,0,False,False,0,False,False,0,False,18.61,50,False,4.68,0,False,23.7,50,False,False,0,False,0,0,False,False,0,False,1,50,False,False,0,False,16.11,50,False,0,0.0,False,0,0.0,False,0,0,False,73.45,0,False,0,0.0,False,False,0,False,0,0.0,False,22.03,75,False,12.85,50,False,13.83,50,False,1.69,25,False,1.62,25,False,1.49,50,False,25.0,False,True,Stretched debtors + rising provisions,Yellow,Critical
BORR-0005,Kaul PLC,CYBDEUFZLVNTCMMTO654816,IRAVX2876V,Auto Components,Coimbatore,Stressed,BB,45.78,143.43,52.67,71.58,72.54,75.78,50,False,1,25,False,15.29,50,False,1,50,False,25.36,50,False,19.92,50,False,-16.18,0,False,-5.09,75,False,47.46,100,True,26.0,50,False,22.54,50,False,57.75,100,True,36.25,0,False,46.16,75,False,20.67,75,False,1,25,False,0,0,False,1,25.0,False,-11.37,0,False,False,0,False,False,0,False,35.2,75,False,14.75,50,False,25.06,50,False,True,100,False,1,25,False,False,0,False,1,50,False,False,0,False,29.98,75,False,5,100.0,False,2,40.0,False,4,25,False,52.18,0,False,4,80.0,False,False,0,False,1,20.0,False,31.65,100,False,16.3,50,False,20.14,75,False,1.53,25,False,3.04,75,False,1.24,50,False,44.53488372093023,True,True,Stretched debtors + rising provisions,Amber,Critical
BORR-0006,"Bala, Issac and Saini",XIQYFQDULJUQTGELY269396,RYQAT6310P,Pharmaceuticals,Mumbai,Watch,BBB,31.95,143.43,31.11,43.34,40.59,54.5,25,False,0,0,False,7.6,25,False,0,0,False,18.75,50,False,14.3,50,False,0.29,0,False,-4.46,50,False,13.32,25,False,14.19,25,False,30.38,75,False,20.94,50,False,28.82,0,False,17.7,50,False,21.15,75,False,1,25,False,0,0,False,0,0.0,False,-1.3,0,False,False,0,False,False,0,False,25.39,50,False,5.83,25,False,10.93,25,False,False,0,False,0,0,False,True,100,True,0,0,False,True,100,False,0.0,0,False,0,0.0,False,1,20.0,False,6,50,False,81.47,0,False,1,20.0,False,False,0,False,0,0.0,False,15.38,50,False,8.84,25,False,0.0,0,False,1.66,25,False,1.66,25,False,1.72,25,False,24.767441860465116,True,True,Stretched debtors + rising provisions,Yellow,Critical
BORR-0007,Sen PLC,CCXPCYRYLEEVPRFIQ736059,NGRYX4295W,Logistics,Chennai,Healthy,A+,513.22,879.38,557.58,205.61,54.95,54.33,25,False,0,0,False,0.0,0,False,0,0,False,6.7,25,False,9.78,25,False,-11.4,0,False,-0.19,25,False,2.51,0,False,-1.09,0,False,5.14,25,False,0.0,0,False,3.41,0,False,0.0,0,False,21.24,75,False,0,0,False,1,25,False,0,0.0,False,-3.57,0,False,False,0,False,False,0,False,8.44,25,False,2.9,0,False,12.11,25,False,False,0,False,0,0,False,False,0,False,0,0,False,False,0,False,10.48,50,False,0,0.0,False,0,0.0,False,1,25,False,91.47,0,False,0,0.0,False,False,0,False,0,0.0,False,4.63,0,False,7.88,25,False,7.7,25,False,2.59,0,False,1.79,25,False,1.82,25,False,10.465116279069768,False,False,,Green,Green
BORR-0008,Ahuja-Dutta,CKASRHSHLACWUBHCB446479,CQHIV8953G,Pharmaceuticals,Coimbatore,Watch,A-,138.73,390.5,161.22,129.32,41.62,57.72,25,False,1,25,False,3.22,0,False,0,0,False,1.81,0,False,3.69,0,False,-15.08,0,False,-4.35,50,False,12.94,25,False,14.0,25,False,21.28,50,False,32.69,75,False,20.97,0,False,7.26,25,False,12.48,50,False,1,25,False,1,25,False,0,0.0,False,-13.13,0,False,False,0,False,False,0,False,14.09,25,False,12.63,50,False,27.82,50,False,False,0,False,0,0,False,False,0,False,2,75,False,False,0,False,6.68,25,False,0,0.0,False,0,0.0,False,2,25,False,71.81,0,False,1,20.0,False,False,0,False,1,20.0,False,15.43,50,False,8.58,25,False,12.23,50,False,1.73,25,False,1.83,25,False,1.54,25,False,20.697674418604652,False,True,Stretched debtors + rising provisions,Yellow,Critical
BORR-0009,"Sami, Oak and Mall",GDDVNLNNLOXBVUUDB522179,XKZDH4139G,Power,Coimbatore,Stressed,BB,58.24,113.36,56.19,26.64,57.43,80.14,50,False,2,50,False,14.04,50,False,1,50,False,18.07,50,False,5.98,25,False,-30.89,0,False,-5.1,75,False,31.33,75,False,15.52,50,False,31.11,75,False,13.73,25,False,25.17,0,False,15.89,50,False,16.61,50,False,1,25,False,0,0,False,1,25.0,False,-16.01,0,False,False,0,False,False,0,False,35.99,75,False,17.8,50,False,30.8,75,False,False,0,False,2,50,False,False,0,False,2,75,False,False,0,False,23.07,75,False,1,20.0,False,2,40.0,False,4,25,False,57.78,0,False,0,0.0,False,False,0,False,0,0.0,False,25.91,75,False,17.72,50,False,24.72,75,False,0.78,100,True,3.06,75,False,1.24,50,False,38.02325581395349,True,True,Stretched debtors + rising provisions,Yellow,Critical
BORR-0010,Kale LLC,DBURACYHLFNPPGMBF497382,AMIZZ8454J,Chemicals,Ahmedabad,Healthy,A+,111.7,311.86,133.34,142.23,69.83,57.24,25,False,1,25,False,0.0,0,False,0,0,False,0.0,0,False,5.09,25,False,7.24,0,False,-0.55,25,False,5.0,0,False,11.89,25,False,-11.69,0,False,12.45,25,False,15.0,0,False,0.0,0,False,15.08,50,False,0,0,False,1,25,False,0,0.0,False,-2.84,0,False,False,0,False,False,0,False,10.24,25,False,1.7,0,False,1.13,0,False,False,0,False,0,0,False,False,0,False,1,50,False,False,0,False,15.19,50,False,1,20.0,False,1,20.0,False,1,25,False,85.26,0,False,0,0.0,False,False,0,False,1,20.0,False,12.18,50,False,0.39,0,False,11.19,50,False,2.25,0,False,1.57,25,False,2.12,0,False,13.023255813953488,False,False,,Green,Green
