Borrower_ID,Borrower_Name,Sector,Risk_Profile,Quarter,Sales_Cr,EBITDA_Margin_pct,DSCR,Debt_to_TNW,Current_Ratio,Debtor_Days,Inventory_Days,Creditor_Days,Total_Debt_Cr,TNW_Cr
BORR-0001,"Choudhury, Bakshi and Maharaj",Manufacturing,Watch,Q1,313.28,8.32,1.5,2.08,1.53,50.0,60.0,45.0,182.54,69.17
BORR-0002,Kapoor and Sons,Trading,Healthy,Q1,159.84,14.79,1.5,2.08,1.53,50.0,60.0,45.0,39.96,46.32
BORR-0003,"Chaudry, Chahal and Sami",Engineering,Healthy,Q1,345.62,12.8,1.5,2.08,1.53,50.0,60.0,45.0,219.03,168.85
BORR-0004,Balan Inc,Infrastructure,Watch,Q1,897.17,17.24,1.5,2.08,1.53,50.0,60.0,45.0,241.27,215.77
BORR-0005,Kaul PLC,Auto Components,Stressed,Q1,160.84,15.82,1.5,2.08,1.53,50.0,60.0,45.0,54.25,70.51
BORR-0006,"Bala, Issac and Saini",Pharmaceuticals,Watch,Q1,143.12,15.34,1.5,2.08,1.53,50.0,60.0,45.0,32.04,42.69
BORR-0007,Sen PLC,Logistics,Healthy,Q1,954.57,12.14,1.5,2.08,1.53,50.0,60.0,45.0,574.31,202.53
BORR-0008,Ahuja-Dutta,Pharmaceuticals,Watch,Q1,434.67,15.26,1.5,2.08,1.53,50.0,60.0,45.0,166.06,127.38
BORR-0009,"Sami, Oak and Mall",Power,Stressed,Q1,139.62,15.82,1.5,2.08,1.53,50.0,60.0,45.0,57.88,26.24
BORR-0010,Kale LLC,Chemicals,Healthy,Q1,294.93,12.41,1.5,2.08,1.53,50.0,60.0,45.0,137.34,140.1
BORR-0011,Chanda Group,Trading,Watch,Q1,121.34,15.79,1.5,2.08,1.53,50.0,60.0,45.0,56.79,45.09
BORR-0012,Parmer LLC,Power,Healthy,Q1,118.6,12.9,1.5,2.08,1.53,50.0,60.0,45.0,59.38,41.1
BORR-0013,"Lalla, Bassi and Sharaf",Pharmaceuticals,Healthy,Q1,243.06,11.16,1.5,2.08,1.53,50.0,60.0,45.0,161.37,104.1
